NewGrade,NewScore,Part,Listing,Name,Category,Status,Qty,Orders,Sales,NetGross,HistMargin,PlatformMarginNew,PlatformPctNew,ListingRequiredTags,ListingRecommendedTags,TagHealth,ImageHealth,AvailabilityHealth,DeliverySpeedHealth,PriceHealth,IncidentReturnHealth,FeedbackCount,FeedbackDamage,PromoReadiness,PromoReason,NewReason,NewAction,Grade,Score,Gross,Deduction,Rating,Reviews,CR,Images,Units,Visits,AdSpend,AdSales,AdOrders,ROAS,PlatformMargin,PlatformPct,Reason,Action,RetailPriceNet,TotalCost,SPSpendNew,SPRevenueNew,SPOrdersNew,FeedbackThemes,FeedbackSample,PromoCount,AvgDiscount,PromoLift,CancelPO,HasNewReportMatch,IsInventoryAlias
B,46,LFC-3B,DMOM1025,,,Live,23,23,3123.25,756.465,0.242204434483311,49.168771891999995,0.2235045769898631,0.8214285714285714,0.7082999999999999,RED,GREEN,GREEN,,,GREEN,0.0,0.0,谨慎参加5%轻促,必须同时看库存和广告ACOS,历史净毛利可用；历史销量稳定；历史净毛利率健康；评分健康；评论数有基础；必填TAG基本合格；图片健康；可售率健康；退货/事故健康；平台空间充足；高访问低转化；促销曾有提升,广告止损：暂停 spend $124.49 但订单 1 的词/商品；保留高意图词，7天看 ROAS 是否回到2以上。,B,54,854.815,98.35,4.25,8,0.007,6,4,278,0,0,0,0,0,0,历史净毛利较好；历史销量高；历史净毛利率健康；高访问低转化；评分健康；评论样本偏少；存在客诉/扣款,观察优化款：先修转化和成本，再放预算；图片不足8张：优先补图,219.99,170.821228108,124.49,139.5,1.0,0,0,9.0,10.88888888888889,2.729005442732915,0.0,True,False
B,46,MFC-D2-W,DMOM1020,,,Live,41,41,3885.2,681.227999999999,0.175339236075363,35.391749730000015,0.2283486013936383,0.7857142857142857,0.625,RED,GREEN,GREEN,,,GREEN,0.0,0.0,禁止促销/先修复,TAG不足80%,历史净毛利可用；历史销量高；历史净毛利率偏低；评分优秀；评论数有基础；TAG不足；图片健康；可售率健康；退货/事故健康；平台空间充足；促销曾有提升,先修 Listing：Required Tags 只有 78.6%，补到95%后再投放；同步补标题关键词和属性。,B,55,782.087999999999,100.86,4.64,14,0.024,11,20,579,0,0,0,0,0,0,历史净毛利较好；历史销量高；历史净毛利率偏低；高访问低转化；评分优秀；评论数有基础；存在客诉/扣款,观察优化款：先修转化和成本，再放预算,154.99,119.59825027,229.78,495.0,5.0,0,0,13.0,11.538461538461538,3.2338044936526655,0.0,True,False
B,44,6T-2095-122,DMOM1000,,,Live,12,12,1470.0,541.8,0.368571428571428,46.14255386400001,0.2197369106338397,0.75,0.75,RED,GREEN,GREEN,,,GREEN,0.0,0.0,禁止促销/先修复,TAG不足80%；历史深折扣促销未提升,历史净毛利可用；有一定销量；历史净毛利率高；评分优秀；评论数有基础；TAG不足；图片健康；可售率健康；退货/事故健康；平台空间可用；转化率可用；广告回收较好；历史促销未带来有效提升,先修 Listing：Required Tags 只有 75.0%，补到95%后再投放；同步补标题关键词和属性。,A,67,541.8,0.0,4.5,8,0.024,12,3,85,0,0,0,0,0,0,历史净毛利较好；历史销量稳定；历史净毛利率高；评分优秀；评论样本偏少,重点经营款：补评论/图片短板，控制广告ACOS，优先修Listing,209.99,163.847446136,61.6,685.3,4.0,0,0,9.0,11.0,0.9692253504310242,0.0,True,False
B,43,LFC-4B,DMOM1027,,,Live,41,41,6960.0,1900.38,0.273043103448276,62.54928549500002,0.2187114426903039,0.8214285714285714,0.7082999999999999,RED,GREEN,GREEN,,,GREEN,0.0,0.0,禁止促销/先修复,评分低于4.0,历史净毛利强；历史销量高；历史净毛利率健康；评分低于4.0；评论样本偏少；必填TAG基本合格；图片健康；可售率健康；退货/事故健康；平台空间可用；转化率可用；5月广告有花费无订单；促销曾有提升,广告止损：暂停 spend $20.55 但订单 0 的词/商品；保留高意图词，7天看 ROAS 是否回到2以上。,B,47,1900.38,0.0,3.0,4,0.047,6,14,212,0,0,0,0,0,0,历史净毛利强；历史销量高；历史净毛利率健康；高访问低转化；评分低于4.0；评论样本偏少,观察优化款：先修转化和成本，再放预算；图片不足8张：优先补图；评分低：先处理差评原因，不建议放量,285.99,223.440714505,20.55,0.0,0.0,0,0,12.0,11.333333333333334,3.4702517867577805,0.0,True,False
B,42,MFC-D2-B,DMOM1020,,,Live,70,70,6649.5,1257.03,0.189041281299346,35.813332406000015,0.2266810076966897,0.7857142857142857,0.625,RED,GREEN,RED,,,GREEN,0.0,0.0,禁止促销/先修复,TAG不足80%；可售率RED,历史净毛利较好；历史销量高；历史净毛利率偏低；评分优秀；评论数有基础；TAG不足；图片健康；可售率健康度偏弱；退货/事故健康；平台空间充足；转化率可用；存在取消记录；促销曾有提升,先保可售：核对库存/履约/配送承接；可售恢复前暂停促销和加预算，避免有流量无交付。,A,62,1350.53,93.5,4.64,14,0.018,9,19,825,0,0,0,0,0,0,历史净毛利强；历史销量高；历史净毛利率偏低；高访问低转化；评分优秀；评论数有基础；存在客诉/扣款,重点经营款：补评论/图片短板，控制广告ACOS，优先修Listing,157.99,122.176667594,229.78,495.0,5.0,0,0,19.0,11.68421052631579,1.5037858488782057,2.0,True,False
B,40,VFC-3W,DMOM1019,,,Live,17,17,1695.6,388.564,0.229160179287568,36.522869111000006,0.2213641378932056,0.7857142857142857,0.625,RED,GREEN,GREEN,,,GREEN,0.0,0.0,禁止促销/先修复,TAG不足80%,历史净毛利可用；有一定销量；历史净毛利率健康；评分优秀；评论样本偏少；TAG不足；图片健康；可售率健康；退货/事故健康；平台空间充足；促销曾有提升,广告止损：暂停 spend $140.60 但订单 2 的词/商品；保留高意图词，7天看 ROAS 是否回到2以上。,B,44,388.564,0.0,4.75,4,0.013,11,3,155,0,0,0,0,0,0,历史净毛利可用；历史销量稳定；历史净毛利率健康；高访问低转化；评分优秀；评论样本偏少,观察优化款：先修转化和成本，再放预算,164.99,128.467130889,140.6,210.0,2.0,0,0,9.0,11.444444444444445,2.8407191274355825,0.0,True,False
C,38,VFC-3B,DMOM1019,,,Live,44,44,4549.2,1181.628,0.259744130836191,35.74657559800002,0.2179802158546254,0.7857142857142857,0.625,RED,GREEN,GREEN,,,GREEN,1.0,0.0,禁止促销/先修复,TAG不足80%；历史深折扣促销未提升,历史净毛利较好；历史销量高；历史净毛利率健康；评分优秀；评论样本偏少；TAG不足；图片健康；可售率健康；退货/事故健康；平台空间可用；存在客户反馈/退货；历史促销未带来有效提升,广告止损：暂停 spend $140.60 但订单 2 的词/商品；保留高意图词，7天看 ROAS 是否回到2以上。,A,67,1181.628,0.0,4.75,4,0.02,11,13,450,0,0,0,0,0,0,历史净毛利强；历史销量高；历史净毛利率健康；高访问低转化；评分优秀；评论样本偏少,重点经营款：补评论/图片短板，控制广告ACOS，优先修Listing,163.99,128.243424402,140.6,210.0,2.0,,Did not realize that it had to be put together.,11.0,11.181818181818182,0.7715864951703832,0.0,True,False
C,35,VF-ZH-4B,DMOM1029,,,Live,27,27,4404.85,1035.559,0.235095179177498,55.64582536500001,0.2173749965428337,0.8214285714285714,0.7082999999999999,RED,GREEN,GREEN,,,GREEN,0.0,0.0,禁止促销/先修复,评分低于4.0,历史净毛利较好；历史销量稳定；历史净毛利率健康；评分低于4.0；评论样本偏少；必填TAG基本合格；图片健康；可售率健康；退货/事故健康；平台空间可用；5月广告有花费无订单；促销曾有提升,广告止损：暂停 spend $29.58 但订单 0 的词/商品；保留高意图词，7天看 ROAS 是否回到2以上。,B,47,1035.559,0.0,3.33,6,0.021,10,11,427,0,0,0,0,0,0,历史净毛利强；历史销量高；历史净毛利率健康；高访问低转化；评分低于4.0；评论样本偏少,观察优化款：先修转化和成本，再放预算；评分低：先处理差评原因，不建议放量,255.99,200.344174635,29.58,0.0,0.0,0,0,13.0,11.692307692307692,1.969964118135384,0.0,True,False
C,34,3T-Kayak,DMOM1004,,,Live,14,14,1376.1,481.534,0.349926604171209,29.746007789000004,0.203753735111994,0.9048,0.9091,RED,GREEN,RED,,,GREEN,0.0,0.0,禁止促销/先修复,可售率RED,历史净毛利可用；有一定销量；历史净毛利率高；评论样本偏少；必填TAG基本合格；图片健康；可售率健康度偏弱；退货/事故健康；平台空间可用；促销曾有提升,先保可售：核对库存/履约/配送承接；可售恢复前暂停促销和加预算，避免有流量无交付。,B,49,481.534,0.0,0.0,0,0.0,9,0,8,0,0,0,0,0,0,历史净毛利可用；历史销量稳定；历史净毛利率高；评论样本偏少,观察优化款：先修转化和成本，再放预算,145.99,116.243992211,0.0,0.0,0.0,0,0,10.0,11.7,4.617567397414008,0.0,True,False
C,34,5T-1830-900,DMOM1000,,,Live,9,9,551.8,113.692,0.206038419717289,30.663719893000007,0.2190422165368955,0.75,0.75,RED,GREEN,GREEN,,,GREEN,0.0,0.0,禁止促销/先修复,TAG不足80%,历史净毛利偏薄；有一定销量；历史净毛利率偏低；评分优秀；评论数有基础；TAG不足；图片健康；可售率健康；退货/事故健康；平台空间可用；广告回收较好；促销曾有提升,先修 Listing：Required Tags 只有 75.0%，补到95%后再投放；同步补标题关键词和属性。,C,34,113.692,0.0,4.5,8,0.0,9,2,54,0,0,0,0,0,0,历史净毛利偏薄；有一定销量；历史净毛利率健康；评分优秀；评论样本偏少,谨慎款：暂停低效广告，复核价格/利润/客诉后再决定是否保留,139.99,109.326280107,61.6,685.3,4.0,0,0,7.0,11.285714285714286,1.5626067159931705,0.0,True,False
C,34,5T-1600-800,DMOM1000,,,Live,2,2,153.0,57.82,0.377908496732026,26.07029319099999,0.217270549137428,0.75,0.75,RED,GREEN,GREEN,,,GREEN,0.0,0.0,禁止促销/先修复,TAG不足80%,历史净毛利偏薄；销量样本少；历史净毛利率高；评分优秀；评论数有基础；TAG不足；图片健康；可售率健康；退货/事故健康；平台空间可用；广告回收较好,先修 Listing：Required Tags 只有 75.0%，补到95%后再投放；同步补标题关键词和属性。,C,34,57.82,0.0,4.5,8,0.0,8,0,42,0,0,0,0,0,0,历史净毛利偏薄；销量样本少；历史净毛利率高；评分优秀；评论样本偏少,谨慎款：暂停低效广告，复核价格/利润/客诉后再决定是否保留,119.99,93.919706809,61.6,685.3,4.0,0,0,1.0,10.0,1.0,0.0,True,False
C,27,VFC-2W,DMOM1026,,,Live,12,12,710.4,32.976,0.0464189189189189,27.13082962,0.2280093253214556,0.8214285714285714,0.7082999999999999,RED,GREEN,GREEN,,,GREEN,0.0,0.0,禁止促销/先修复,卖家历史净毛利率低于15%,历史净毛利偏薄；有一定销量；历史净毛利率偏低；评分优秀；评论样本偏少；必填TAG基本合格；图片健康；可售率健康；退货/事故健康；平台空间充足；促销曾有提升,先补图文承接：补主图、尺寸图、细节图和核心属性；修完看 CVR 是否回到类目均值。,B,36,32.976,0.0,4.67,3,0.014,6,2,71,0,0,0,0,0,0,历史净毛利偏薄；历史销量稳定；历史净毛利率偏低；评分优秀；评论样本偏少,观察优化款：先修转化和成本，再放预算；图片不足8张：优先补图,118.99,91.85917038,0.0,0.0,0.0,0,0,3.0,10.666666666666666,6.01263823064771,0.0,True,False
C,24,VFC-5B,DMOM1028,,,Live,3,3,459.0,115.56,0.251764705882353,54.844122306,0.2193852646345853,0.8929,0.9583,RED,GREEN,GREEN,,,GREEN,0.0,0.0,暂不促销,利润/平台空间/承接未完全通过,历史净毛利偏薄；销量样本少；历史净毛利率健康；评论样本偏少；必填TAG基本合格；图片健康；可售率健康；退货/事故健康；平台空间可用,先补图文承接：补主图、尺寸图、细节图和核心属性；修完看 CVR 是否回到类目均值。,C,21,115.56,0.0,0.0,0,0.031,7,1,32,0,0,0,0,0,0,历史净毛利偏薄；销量样本少；历史净毛利率健康；评论样本偏少,谨慎款：暂停低效广告，复核价格/利润/客诉后再决定是否保留；图片不足8张：优先补图,249.99,195.145877694,0.0,0.0,0.0,0,0,2.0,10.0,1.0,0.0,True,False
C,20,2T-Kayak,DMOM1001,,,Live,9,9,747.95,253.073,0.338355505047129,26.467435604,0.2036113209016078,0.8571428571428571,0.7273000000000001,RED,GREEN,RED,,,GREEN,0.0,0.0,禁止促销/先修复,评分低于4.0；可售率RED,历史净毛利偏薄；有一定销量；历史净毛利率高；评分低于4.0；评论样本偏少；必填TAG基本合格；图片健康；可售率健康度偏弱；退货/事故健康；平台空间可用；促销曾有提升,先保可售：核对库存/履约/配送承接；可售恢复前暂停促销和加预算，避免有流量无交付。,C,29,253.073,0.0,3.5,2,0.0,9,0,11,0,0,0,0,0,0,历史净毛利可用；有一定销量；历史净毛利率高；评分低于4.0；评论样本偏少,谨慎款：暂停低效广告，复核价格/利润/客诉后再决定是否保留；评分低：先处理差评原因，不建议放量,129.99,103.522564396,0.0,0.0,0.0,0,0,6.0,12.666666666666666,4.521420241086148,0.0,True,False
C,18,LFC-5B,DMOM1024,,,Live,1,1,207.0,49.58,0.23951690821256,70.88414075200001,0.2148069358222976,0.8214285714285714,0.7082999999999999,RED,GREEN,RED,,,GREEN,0.0,0.0,禁止促销/先修复,可售率RED,历史净毛利偏薄；销量样本少；历史净毛利率健康；评论样本偏少；必填TAG基本合格；图片健康；可售率健康度偏弱；退货/事故健康；平台空间可用；转化率可用,先保可售：核对库存/履约/配送承接；可售恢复前暂停促销和加预算，避免有流量无交付。,C,21,49.58,0.0,0.0,0,0.024,6,1,41,0,0,0,0,0,0,历史净毛利偏薄；销量样本少；历史净毛利率健康；评论样本偏少,谨慎款：暂停低效广告，复核价格/利润/客诉后再决定是否保留；图片不足8张：优先补图,329.99,259.105859248,0.0,0.0,0.0,0,0,1.0,10.0,1.0,0.0,True,False
C,14,VF-ZH-4W,DMOM1029,,,Live,17,17,2584.45,474.383,0.183552786859873,56.22492769500002,0.21878255066345,0.8214285714285714,0.7082999999999999,RED,GREEN,GREEN,,,GREEN,0.0,0.0,禁止促销/先修复,评分低于4.0,历史净毛利可用；有一定销量；历史净毛利率偏低；评分低于4.0；评论样本偏少；必填TAG基本合格；图片健康；可售率健康；退货/事故健康；平台空间可用；高访问低转化；5月广告有花费无订单；促销曾有提升,广告止损：暂停 spend $29.58 但订单 0 的词/商品；保留高意图词，7天看 ROAS 是否回到2以上。,C,18,474.383,0.0,3.33,6,0.004,10,3,258,0,0,0,0,0,0,历史净毛利可用；历史销量稳定；历史净毛利率偏低；高访问低转化；评分低于4.0；评论样本偏少,谨慎款：暂停低效广告，复核价格/利润/客诉后再决定是否保留；评分低：先处理差评原因，不建议放量,256.99,200.765072305,29.58,0.0,0.0,0,0,10.0,12.0,1.414842342910258,0.0,True,False
C,14,LFC-5W,DMOM1024,,,Live,1,2,207.0,49.58,0.23951690821256,66.83382482600001,0.2088622295259227,0.8214285714285714,0.7082999999999999,RED,GREEN,RED,,,GREEN,0.0,0.0,禁止促销/先修复,可售率RED,历史净毛利偏薄；销量样本少；历史净毛利率健康；评论样本偏少；必填TAG基本合格；图片健康；可售率健康度偏弱；退货/事故健康；平台空间可用,先保可售：核对库存/履约/配送承接；可售恢复前暂停促销和加预算，避免有流量无交付。,C,21,49.58,0.0,0.0,0,0.0,6,0,65,0,0,0,0,0,0,历史净毛利偏薄；销量样本少；历史净毛利率健康；评论样本偏少,谨慎款：暂停低效广告，复核价格/利润/客诉后再决定是否保留；图片不足8张：优先补图,319.99,253.156175174,0.0,0.0,0.0,0,0,1.0,10.0,1.0,0.0,True,False
C,13,5T-Niudun,DMOM1005,,,Live,3,3,178.2,32.508,0.182424242424242,25.57604550699999,0.2325306437585234,0.875,0.9,RED,GREEN,RED,,,GREEN,0.0,0.0,禁止促销/先修复,可售率RED,历史净毛利偏薄；销量样本少；历史净毛利率偏低；评论样本偏少；必填TAG基本合格；图片健康；可售率健康度偏弱；退货/事故健康；平台空间充足,先保可售：核对库存/履约/配送承接；可售恢复前暂停促销和加预算，避免有流量无交付。,C,7,32.508,0.0,0.0,0,0.009,6,1,111,0,0,0,0,0,0,历史净毛利偏薄；销量样本少；历史净毛利率偏低；高访问低转化；评论样本偏少,谨慎款：暂停低效广告，复核价格/利润/客诉后再决定是否保留；图片不足8张：优先补图,109.99,84.413954493,0.0,0.0,0.0,0,0,3.0,11.0,1.0,0.0,True,False
C,8,3T-B,DMOM1017,,,Live,2,2,126.0,32.44,0.257460317460317,12.722828506999988,0.1383066475377757,0.7222222222222222,0.7,RED,GREEN,GREEN,,,GREEN,0.0,0.0,禁止促销/先修复,TAG不足80%；历史深折扣促销未提升,历史净毛利偏薄；销量样本少；历史净毛利率健康；评分健康；评论样本偏少；TAG不足；图片健康；可售率健康；退货/事故健康；平台空间偏低；转化率可用；历史促销未带来有效提升,先修 Listing：Required Tags 只有 72.2%，补到95%后再投放；同步补标题关键词和属性。,C,15,32.44,0.0,4.0,1,0.008,9,0,121,0,0,0,0,0,0,历史净毛利偏薄；销量样本少；历史净毛利率健康；高访问低转化；评论样本偏少,谨慎款：暂停低效广告，复核价格/利润/客诉后再决定是否保留,91.99,79.267171493,52.81,122.5,2.0,0,0,3.0,10.0,0.6666666666666666,0.0,True,False
C,7,LFC-4W,DMOM1027,,,Live,8,8,1236.0,256.08,0.207184466019417,62.499056145,0.2232188869066752,0.8214285714285714,0.7082999999999999,RED,GREEN,GREEN,,,GREEN,0.0,0.0,禁止促销/先修复,评分低于4.0；历史深折扣促销未提升,历史净毛利偏薄；有一定销量；历史净毛利率偏低；评分低于4.0；评论样本偏少；必填TAG基本合格；图片健康；可售率健康；退货/事故健康；平台空间充足；5月广告有花费无订单；历史促销未带来有效提升,广告止损：暂停 spend $20.55 但订单 0 的词/商品；保留高意图词，7天看 ROAS 是否回到2以上。,C,16,256.08,0.0,3.0,4,0.01,6,1,101,0,0,0,0,0,0,历史净毛利可用；有一定销量；历史净毛利率健康；高访问低转化；评分低于4.0；评论样本偏少,谨慎款：暂停低效广告，复核价格/利润/客诉后再决定是否保留；图片不足8张：优先补图；评分低：先处理差评原因，不建议放量,279.99,217.490943855,20.55,0.0,0.0,0,0,4.0,11.0,0.7612107623318385,0.0,True,False
