供应商SKU,Wayfair Listing,产品名,类目,SKU价值分层,促销准入,定价分组,库存状态,可用库存,总可售含在途,5月订单数,YB历史订单数,5月回款额,YB历史回款额,5月毛利,YB历史毛利,5月毛利率,YB历史毛利率,当前Base预估毛利率,当前Base,美国前台价,Base前台价比例,平台空间率,Wayfair Total Cost,客诉扣款记录数,客诉扣款金额,广告花费,广告订单,ROAS,Listing问题,系统总建议,详情锚点
5T-dong-198-120,DMOM1015,1980-1200-457-洞洞板,,C,禁止促销/先修复,先修成本,库存不足,,,,3.0,,198.0,,-8.880000000000003,,-0.0448484848484848,0.2834343434343433,110.0,164.99,0.6667070731559488,0.2201844991514637,128.661759485,,,0.0,0.0,0,Required Tags 75.0%；Reviews 6,先复核成本、退货和物流，不进大促；回看Customer Feedback/退货原因，修说明、包装或质量；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价；优先补必填/推荐TAG；补主图/尺寸图/细节图；图片不足8张：优先补图；复核可售率问题；促销/广告前先确认库存,sku-5T-dong-198-120
5T-wangge,DMOM1016,网格货架,,C,禁止促销/先修复,先修成本,库存不足,,,,3.0,,0.0,,-135.0,,,0.3149999999999999,80.0,114.99,0.6957126706670146,0.2198681564396903,89.707360691,,,9.73,0.0,0,Required Tags 75.0%；Reviews 3,先复核成本、退货和物流，不进大促；回看Customer Feedback/退货原因，修说明、包装或质量；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价；优先补必填/推荐TAG；图片不足8张：优先补图；广告降到最低或暂停；促销/广告前先确认库存,sku-5T-wangge
VFC-5W-wheel,DMOM1030,窄五白带轮子套装,文件柜,N,新品不进大促,待确认价格,库存不足,,,,,,,,,,,0.2599999999999999,175.0,,,0.0,,,,0.0,0.0,0,,先确认是否仍可售或仅部分店铺可售；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-VFC-5W-wheel
VFC-4W-wheel,DMOM1030,窄四白带轮子套装,文件柜,N,新品不进大促,待确认价格,库存不足,,,,,,,,,,,0.2659259259259258,150.0,,,0.0,,,,0.0,0.0,0,,先确认是否仍可售或仅部分店铺可售；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-VFC-4W-wheel
VFC-5B-wheel,DMOM1030,窄五黑带轮子套装,文件柜,N,新品不进大促,待确认价格,库存不足,,,,,,,,,,,0.2587301587301586,175.0,,,0.0,,,,0.0,0.0,0,,先确认是否仍可售或仅部分店铺可售；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-VFC-5B-wheel
VFC-4B-wheel,DMOM1030,窄四黑带轮子套装,文件柜,N,新品不进大促,待确认价格,库存不足,,,,,,,,,,,0.2651851851851852,150.0,,,0.0,,,,0.0,0.0,0,,先确认是否仍可售或仅部分店铺可售；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-VFC-4B-wheel
6D-locker,DMOM1045,6门书包柜,locker,N,新品不进大促,待确认价格,库存不足,,,,,,,,,,,0.2886590038314175,145.0,,,0.0,,,,0.0,0.0,0,,先确认是否仍可售或仅部分店铺可售；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-6D-locker
9D-locker,DMOM1046,9门书包柜,locker,N,新品不进大促,待确认价格,库存不足,,,,,,,,,,,0.2847293447293447,156.0,,,0.0,,,,0.0,0.0,0,Required Tags 50.0%,先确认是否仍可售或仅部分店铺可售；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-9D-locker
MFC-D3W,DMOM1055,,,N,新品不进大促,待确认价格,库存不足,,,,,,,,,,,0.396,125.0,,,0.0,,,,0.0,0.0,0,,先确认是否仍可售或仅部分店铺可售；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-MFC-D3W
MFC-D2B,DMOM1056,2抽鹅颈活动柜黑色,文件柜,N,新品不进大促,待确认价格,库存不足,,,,,,,,,,,0.4015384615384614,130.0,,,0.0,,,,0.0,0.0,0,,先确认是否仍可售或仅部分店铺可售；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-MFC-D2B
MFC-D3B,DMOM1055,,,N,新品不进大促,待确认价格,库存不足,,,,,,,,,,,0.3673684210526315,125.0,,,0.2722403543533171,141.178093659,,,0.0,0.0,0,,先确认是否仍可售或仅部分店铺可售；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-MFC-D3B
MFC-D2W,DMOM1056,2抽鹅颈活动柜白色,文件柜,N,新品不进大促,待确认价格,库存不足,,,,,,,,,,,0.3731983805668015,130.0,,,0.2712858938379333,148.650390516,,,0.0,0.0,0,,先确认是否仍可售或仅部分店铺可售；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-MFC-D2W
MK-WB001B,DMOM1006,,,N,新品不进大促,待补成本,库存不足,,,,,,,,,,,,179.99,249.99,0.7199887995519821,0.2127892821472859,196.794807356,,,0.0,0.0,0,,先补产品上架成本，再决定 Base Cost；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-MK-WB001B
YB-CW12A0720,DMOM1007,,,N,新品不进大促,待补成本,库存不足,,,,,,,,,,,,220.0,289.99,0.7586468498913755,0.1555732432876995,244.875315179,,,0.0,0.0,0,Required Tags 73.3%,先补产品上架成本，再决定 Base Cost；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-YB-CW12A0720
YB-CW12S0768,DMOM1008,,,N,新品不进大促,待补成本,库存不足,,,,,,,,,,,,28.0,51.99,0.5385651086747452,0.2476756892671667,39.113340915,,,0.0,0.0,0,Required Tags 78.3%,先补产品上架成本，再决定 Base Cost；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-YB-CW12S0768
YB-MSE3400003,DMOM1009,,,N,新品不进大促,待补成本,库存不足,,,,,,,,,,,,245.0,365.99,0.6694171971911801,0.2321740054755594,281.016635736,,,0.0,0.0,0,Required Tags 63.0%,先补产品上架成本，再决定 Base Cost；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-YB-MSE3400003
YB-CW12S0714,IFOM4699,,,N,新品不进大促,待补成本,库存不足,,,,,,,,,,,,130.0,109.99,1.1819256296026912,0.1330100093815109,145.645648524,,,0.0,0.0,0,Required Tags 73.3%；Reviews 1,先补产品上架成本，再决定 Base Cost；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-YB-CW12S0714
YB-CW12Y0719,DMOM1012,,,N,新品不进大促,待补成本,库存不足,,,,,,,,,,,,105.0,136.99,0.7664793050587634,0.1316274176436237,118.958360057,,,0.0,0.0,0,Required Tags 73.3%,先补产品上架成本，再决定 Base Cost；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-YB-CW12Y0719
YB- CW12X0718,DMOM1011,,,N,新品不进大促,待补成本,库存不足,,,,,,,,,,,,155.0,207.99,0.7452281359680754,0.1695502030963027,172.725253258,,,0.0,0.0,0,Required Tags 73.3%,先补产品上架成本，再决定 Base Cost；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-YB-CW12X0718
YB-CW12H0689,DMOM1013,,,N,新品不进大促,待补成本,库存不足,,,,,,,,,,,,235.0,309.99,0.7580889706119552,0.163755557605084,259.227414698,,,0.0,0.0,0,Required Tags 73.3%,先补产品上架成本，再决定 Base Cost；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-YB-CW12H0689
5T-1600-800,DMOM1000,,,C,禁止促销/先修复,新品观察,库存不足,,,,2.0,,153.0,,57.82,,0.3779084967320261,0.3779084967320261,85.0,119.99,0.7083923660305026,0.217270549137428,93.919706809,,,61.6,4.0,0,Required Tags 75.0%；Reviews 8,先不提Base，保留当前价格做成交验证；有3单以上再复核；优先补必填/推荐TAG；促销/广告前先确认库存,sku-5T-1600-800
3T-B,DMOM1017,3层置物架-黑,,C,禁止促销/先修复,新品观察,库存不足,,,,2.0,,126.0,,32.44,,0.2574603174603174,0.2574603174603174,70.0,91.99,0.7609522774214589,0.1383066475377757,79.267171493,,,52.81,2.0,0,Required Tags 72.2%；Reviews 1,先不提Base，保留当前价格做成交验证；有3单以上再复核；禁止深折扣促销，当前促销利润不够；优先补必填/推荐TAG；促销前复核Base Cost和平台成本；不重复深折扣，先复盘促销承接；促销/广告前先确认库存,sku-3T-B
VFC-5W,DMOM1028,窄卡5抽白色,文件柜,N,新品不进大促,新品观察,库存不足,,,,,,,,,,,0.2504575163398692,170.0,239.99,0.7083628484520188,0.2188236531772157,187.474511474,,,0.0,0.0,0,,先不提Base，保留当前价格做成交验证；有3单以上再复核；禁止深折扣促销，当前促销利润不够；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-VFC-5W
VFC-2B,DMOM1026,窄卡2抽黑色,文件柜,N,新品不进大促,新品观察,库存不足,,,,,,,,,,,0.2052777777777777,80.0,119.99,0.6667222268522377,0.2225343928577381,93.288098201,,,0.0,0.0,0,Reviews 3,先不提Base，保留当前价格做成交验证；有3单以上再复核；禁止深折扣促销，当前促销利润不够；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-VFC-2B
MFC-D01,DMOM1031,白灰套色金属2抽活动柜,文件柜,N,新品不进大促,新品观察,库存不足,,,,,,,,,,,0.2956521739130435,125.0,174.99,0.7143265329447397,0.2729018269540502,138.141381897,,,0.0,0.0,0,,先不提Base，保留当前价格做成交验证；有3单以上再复核；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-MFC-D01
MFC-D02,DMOM1031,黑色金属3抽转印圆弧活动柜,文件柜,N,新品不进大促,新品观察,库存不足,,,,,,,,,,,0.2878260869565217,140.0,194.99,0.717985537719883,0.2684291354969285,153.622565837,,,0.0,0.0,0,,先不提Base，保留当前价格做成交验证；有3单以上再复核；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-MFC-D02
MFC-D03,DMOM1031,白色金属3抽圆弧活动柜,文件柜,N,新品不进大促,新品观察,库存不足,,,,,,,,,,,0.2846054750402575,135.0,189.99,0.7105637138796779,0.2708944207853326,148.730247104,,,0.0,0.0,0,,先不提Base，保留当前价格做成交验证；有3单以上再复核；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-MFC-D03
MFC-D04,DMOM1031,白色金属3抽窄活动柜,文件柜,N,新品不进大促,新品观察,库存不足,,,,,,,,,,,0.2965217391304347,125.0,174.99,0.7143265329447397,0.2741568712616454,137.902936029,,,0.0,0.0,0,,先不提Base，保留当前价格做成交验证；有3单以上再复核；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-MFC-D04
CT-02,DMOM1037,火烧云钢木半开合咖啡桌,咖啡桌,N,新品不进大促,新品观察,库存不足,,,,,,,,,,,0.3031114130434783,128.0,233.99,0.5470319244412154,0.3346806291850079,155.678079577,,,0.0,0.0,0,,先不提Base，保留当前价格做成交验证；有3单以上再复核；新品观察：先补图文与基础价格口径，只允许小预算测款，不进大促；促销/广告前先确认库存,sku-CT-02
